

     SECTION 1A BOYS' CROSS COUNTRY CHAMPIONSHIP                 

          OCTOBER 24, 1991         

          5000 METERS              

          NORTHERN HILLS GOLF COURSE     ROCHESTER, MINNESOTA         


   FINISH ORDER
   ------------
    IND   TEAM       NAME                          TIME     GRADE     SCHOOL

      1     1       Anderson Kent                 16:55.0     12     Stewartville             
      2     2       Hall Cory                     17:08.0     12     Harmon/Lanes/Preston-Foun
      3     3       Gilman Peter                  17:15.0     10     Byron                    
      4     4       Wallace Mike                  17:18.0     12     Shattuck-St. Mary's      
      5     5       Haaland David                 17:19.0     11     Byron                    
      6     6       Stimets Paul                  17:26.0     11     Elgin-Millville          
      7     7       Schrandt Kelly                17:29.0     11     Stewartville             
      8     8       Guggenbuehl Jeff              17:38.0     12     La Crescent              
      9     9       Aggen Mark                    17:39.0     12     Harmon/Lanes/Preston-Foun
     10    10       Humfeld Jon                   17:43.0     10     La Crescent              
     11    11       Webinger Lucas                17:46.0     10     La Crescent              
     12    12       Wandrey Bryce                 17:47.0      9     Elgin-Millville          
     13    13       Simon Joe                     17:50.0     10     Elgin-Millville          
     14    14       Hartzell Chris                17:52.0     12     Dover-Eyota/St. Charles  
     15    15       Ronish Brian                  17:53.0     10     La Crescent              
     16    16       Hager Jon                     17:55.0     10     Lake City                
     17    17       Holst Tanner                  17:59.0     12     Plainview                
     18    18       Kennedy Dan                   18:00.0     10     Farmington               
     19    19       Kingsley Kyle                 18:03.0     10     Harmon/Lanes/Preston-Foun
     20    20       Larson Dave                   18:03.0     12     Harmon/Lanes/Preston-Foun
     21    21       Goetz Karl                    18:06.0     12     Lake City                
     22    22       Thompson Charlie              18:11.0     11     Lake City                
     23    23       Hella Kurt                    18:15.0     11     Harmon/Lanes/Preston-Foun
     24    24       Smith Britt                   18:17.0     11     Winona Cotter            
     25    25       Jasick Martin                 18:20.0     10     Kenyon/Wanam/Zumbro-Mazep
     26    26       Moen Sean                     18:21.0     10     Stewartville             
     27    27       Monosmith Brian               18:23.0     12     Pine Island              
