

     SECTION 1A BOYS' CROSS COUNTRY CHAMPIONSHIP                 

          OCTOBER 24, 1996         

          5000 METERS              

          NORTHERN HILLS GOLF COURSE     ROCHESTER, MINNESOTA         


   FINISH ORDER
   ------------
    IND   TEAM       NAME                          TIME     GRADE     SCHOOL

     39    39       Andring Tim                   18:47.9     12     Dover-Eyota/St. Charles  
     46    46       Anthony Sam                   19:07.4     10     Cannon Falls/Randolph    
     95    93       Atkinson Dave                 21:53.1      9     Rochester Lourdes        
     26    26       Banse Ryan                    18:13.6     12     La Crescent              
      8     8       Barnes Jordan                 17:27.1      8     Plainview                
     81    81       Bauer Shad                    20:29.1     11     Zumbrota-Maz/Kenyon/Wanam
      6     6       Bedsted Chris                 17:13.2     12     Plainview                
     70    70       Boelter Chad                  19:52.9     11     Byron                    
     35    35       Busch Brandon                 18:37.0     10     La Crescent              
     21    21       Conway Riley                  18:02.4      8     Lake City                
     37    37       Dick Jason                    18:42.8     12     Elgin-Millville          
      2     2       Dick Matt                     16:54.1     11     Elgin-Millville          
     58    58       Dick Travis                   19:26.8      9     Elgin-Millville          
     15    15       Diercks Damon                 17:44.5     11     Byron                    
     28    28       Dittfach Jon                  18:24.0     11     Lake City                
     10    10       Duggan Josh                   17:28.5     11     La Crescent              
     73    73       Dunn Jacob                    20:01.6     11     Dover-Eyota/St. Charles  
      4     4       Einerwold Brett               17:10.1     11     La Crescent              
     47    47       Eversman Aaron                19:14.3     12     Plainview                
     71    71       Farrell Tim                   19:56.7     11     Winona Cotter            
     54    54       Fuller Justin                 19:22.3     11     Dover-Eyota/St. Charles  
     63    63       Gill Jason                    19:30.1     10     Zumbrota-Maz/Kenyon/Wanam
     94     *       Grabau Mitch                  21:49.8     11     Kingsland                
     55    55       Greff Jason                   19:24.6     11     Rochester Lourdes        
     30    30       Griffin Ryan                  18:28.7     10     Rochester Lourdes        
     69    69       Gudmastad Mark                19:49.4      9     Winona Cotter            
     44    44       Haugerud Charlie              19:01.9      9     Filmore Central/Lanesboro
     41    41       Heichel Tadd                  18:55.4     11     La Crescent              
     11    11       Heins Dan                     17:32.4     11     Plainview                
     27    27       Hernandez Hector              18:18.4     12     Dover-Eyota/St. Charles  
     51    51       Heydmann Philip               19:20.3     11     Zumbrota-Maz/Kenyon/Wanam
     61    61       Hirter Thomas                 19:28.2     12     Filmore Central/Lanesboro
     66    66       Hofstadt Brandon              19:39.6     11     Cannon Falls/Randolph    
