

     SECTION 1A GIRLS' CROSS COUNTRY CHAMPIONSHIP

          OCTOBER 27, 2005

          4000 METERS

          NORTHERN HILLS GOLF COURSE     ROCHESTER, MINNESOTA


  FINISH ORDER
  ------------
   IND   TEAM    NAME                         TIME      PACE  GRADE    SCHOOL

     1     1    Kristin Ostrem               15:14.4    6:08    10    Lewstn-Altra/Rshfrd-Ptrsn
     2     *    Kyle Blaxeslee               15:27.0    6:13     9    Cannon Falls
     3     2    Maureen Keane                15:32.9    6:15    12    Winona Cotter
     4     3    Emily Altrichter             15:54.4    6:24     9    Rochester Lourdes
     5     4    Nicola Franta                15:55.1    6:24     9    La Crescent
     6     5    Amanda Holmen                16:04.5    6:28    10    Kingsland
     7     6    Kelsey Torchia               16:04.8    6:28     9    Rochester Lourdes
     8     7    Danielle Anshus              16:05.7    6:29     9    Chatfield
     9     8    Stephanie Smith              16:08.8    6:30    10    Winona Cotter
    10     9    Molly Rea                    16:10.4    6:30     9    Rochester Lourdes
    11    10    Andrea McHenry               16:11.9    6:31    11    Stewartville
    12    11    Ashley Altrichter            16:16.0    6:33    11    Rochester Lourdes
    13    12    Brittany Nordland            16:21.1    6:35     9    Pine Island
    14    13    Lilia Pederson               16:21.5    6:35     8    Lake City
    15    14    Marci Burg                   16:28.3    6:38    12    La Crescent
    16    15    Kathleen Freiheit            16:28.8    6:38    10    Hayfield
    17    16    Kayli Hareldson              16:31.8    6:39     9    Chatfield
    18    17    Kelsey Capelle               16:32.4    6:39    10    Kingsland
    19    18    Brianna Kvanli               16:33.1    6:40    10    Kingsland
    20    19    April Conniff                16:34.0    6:40     8    La Crescent
    21    20    Katie Wurst                  16:38.9    6:42     9    Lake City
    22    21    Janna Mason                  16:43.6    6:44     8    Rochester Lourdes
    23    22    Deana Petersen               16:50.7    6:47     9    La Crescent
    24    23    Kelsey Johnson               16:51.1    6:47     8    Hayfield
    25    24    Anna Gay                     16:52.3    6:47     7    Lake City
    26    25    Rachelle Ruberg              16:53.0    6:48     9    Lewstn-Altra/Rshfrd-Ptrsn
    27    26    Sarah Sullivan               16:55.4    6:49    12    La Crescent
    28    27    Alexa Zerbe                  16:57.1    6:49     8    Byron
    29    28    Emily Dee                    16:58.2    6:50    11    Stewartville
    30    29    Laura Grant                  16:59.4    6:50     7    Pine Island
    31     *    Karla Lewer                  17:01.5    6:51    11    New Richland-H-E-G
    32    30    Melody Olsted                17:02.7    6:52     9    Lanesboro/Fillmore Centrl
