

     SECTION 1A GIRLS' CROSS COUNTRY CHAMPIONSHIP                

          OCTOBER 23, 2008         

          4000 METERS

          NORTHERN HILLS GOLF COURSE     ROCHESTER, MINNESOTA         


  FINISH ORDER
  ------------
   IND   TEAM    NAME                         TIME      PACE  GRADE    SCHOOL

     1     1    Kayla Woltz                  14:57.6    6:01     8    Chatfield                
     2     2    Adriana Flores               15:28.9    6:14    11    Medford                  
     3     3    Alejandra Flores             15:30.1    6:14    11    Medford                  
     4     4    Kyle Blakeslee               15:37.6    6:17    12    Cannon Falls             
     5     5    Amy Mathiowetz               15:46.0    6:21    11    Rochester Lourdes        
     6     6    Emily Norton                 15:57.1    6:25     8    Plainview-Elgin-Millville
     7     7    Molly Rea                    16:00.0    6:26    12    Rochester Lourdes        
     8     8    Taylor Gibson                16:05.9    6:29     8    La Crescent              
     9     9    Kelsey Torchia               16:06.6    6:29    12    Rochester Lourdes        
    10    10    Brittany Nordland            16:11.7    6:31    12    Pine Island              
    11    11    Carlye Guzman                16:26.0    6:37    10    La Crescent              
    12    12    Nicola Franta                16:26.5    6:37    12    La Crescent              
    13    13    Cortney Kasten               16:31.2    6:39    11    Byron                    
    14    14    Kaia Bierman                 16:32.4    6:39     7    Cannon Falls             
    15    15    Cecelia Weir                 16:33.4    6:40    11    Rochester Lourdes        
    16    16    Abby Crabtree                16:37.2    6:41     8    New Richland-H-E-G       
    17    17    Karen Sass                   16:37.6    6:41     9    Chatfield                
    18    18    Raelynn Speltz               16:37.8    6:42     8    Lewstn-Altra/Rshfrd-Ptrsn
    19    19    Katie Shepardson             16:38.1    6:42     8    La Crescent              
    20    20    Danielle Anshus              16:46.7    6:45    12    Chatfield                
    21    21    Molly Dunlap                 16:47.7    6:45     9    La Crescent              
    22    22    Jaynah Speltz                16:55.0    6:48     7    Lewstn-Altra/Rshfrd-Ptrsn
    23    23    Marissa Mielke               16:56.0    6:49    12    Medford                  
    24    24    Kristie Mueller              16:58.7    6:50    12    Rochester Lourdes        
    25    25    Kassie Coe                   17:03.2    6:52    12    Byron                    
    26    26    Alyssa Jensen                17:04.8    6:52    10    La Crescent              
    27    27    Carly Bjork                  17:10.1    6:54     9    Rochester Lourdes        
    28    28    Rachelle Ruberg              17:12.7    6:56    12    Lewstn-Altra/Rshfrd-Ptrsn
    29    29    Sara Wasinger                17:13.0    6:56    12    Winona Cotter            
    30    30    Lauren Larson                17:13.7    6:56     9    Medford                  
    31    31    Andree Escherich             17:13.9    6:56     9    United S Cntrl/Alden-Cngr
    32     *    Anna Philbrick               17:16.0    6:57    12    Schaeffer Academy        
    33    32    Gayle Makoutz                17:19.2    6:58    12    Lake City                
    34    33    Jenna Rindels                17:20.0    6:58    11    Kingsland                
    35    34    Abby Trio                    17:20.9    6:59     9    United S Cntrl/Alden-Cngr
    36    35    Katie Wurst                  17:21.7    6:59    12    Lake City                
    37    36    Michelle Ruberg              17:26.0    7:01    11    Lewstn-Altra/Rshfrd-Ptrsn
    38    37    Kristen Resman               17:29.1    7:02     8    Rochester Lourdes        
    39    38    Autumn Kruse                 17:32.1    7:03     8    Stewartville             
    40    39    Courtney Severson            17:33.2    7:04     9    Hayfield                 
    41    40    Hannah Goemann               17:35.4    7:05     8    United S Cntrl/Alden-Cngr
    42    41    Jenna Paulson                17:39.2    7:06    11    Blooming Prairie         
    43    42    Melanie Woods                17:41.3    7:07     9    Kingsland                
    44    43    Amanda Fry                   17:44.8    7:08    12    Plainview-Elgin-Millville
    45    44    Amber Erickson               17:47.1    7:09    11    United S Cntrl/Alden-Cngr
    46    45    Lucia Weinberg               17:53.3    7:12    11    Lewstn-Altra/Rshfrd-Ptrsn
    47    46    Cassie Holmen                18:00.0    7:15     8    Kingsland                
    48    47    Nikki Befort                 18:00.7    7:15    12    Plainview-Elgin-Millville
    49    48    Tricia DeBoer                18:04.3    7:16     9    Blooming Prairie         
    50    49    Lisa Alitz                   18:05.4    7:17    12    Lake City                
    51    50    Isabell Archibald            18:07.4    7:18     9    Medford                  
    52    51    Lexi Anderson                18:09.6    7:18     8    Hayfield                 
    53    52    Lindsay Johnson              18:10.3    7:19    10    United S Cntrl/Alden-Cngr
    54    53    Liz Lee                      18:11.4    7:19    11    Lewstn-Altra/Rshfrd-Ptrsn
    55    54    Metea Voyce                  18:11.8    7:19    10    Hayfield                 
    56    55    Ashley Gates                 18:12.8    7:20     8    Lake City                
    57    56    Ashleigh Dralle              18:13.5    7:20     7    Cannon Falls             
    58    57    Sarah Costello               18:14.0    7:20     9    Chatfield                
    59    58    Courtney Brendel             18:15.4    7:21     8    Winona Cotter            
    60    59    Laura Mesenburg              18:16.7    7:21    10    Byron                    
    61    60    Kelsey Johnson               18:17.0    7:21    11    Hayfield                 
    62    61    Hanna Conroy                 18:17.3    7:22     7    Hayfield                 
    63    62    Chloe Kidd                   18:17.9    7:22     8    Stewartville             
    64    63    DaVyll Smith                 18:21.9    7:23     9    Blooming Prairie         
    65    64    Samantha Knutson             18:26.0    7:25    10    Kingsland                
    66     *    Kiersten Haffey              18:39.8    7:31     9    Schaeffer Academy        
    67     *    Sarah Keller                 18:40.7    7:31     9    Wabasha-Kellogg          
    68    65    Kelsey Kubista               18:41.5    7:31     9    Blooming Prairie         
    69    66    Mary Rose Costello           18:43.3    7:32     8    Winona Cotter            
    70    67    Heather Schmit               18:44.2    7:32    12    New Richland-H-E-G       
    71    68    Mikayla Engel                18:44.5    7:32     7    Stewartville             
    72    69    Melinda Woods                18:45.0    7:33     7    Kingsland                
    73    70    Molly Bisbee                 18:47.2    7:34    12    Stewartville             
    74    71    Kelsey Munson                18:49.7    7:35    11    United S Cntrl/Alden-Cngr
    75    72    Jeanette Thornton            18:51.3    7:35     8    Stewartville             
    76    73    Kelcie Driessen              18:52.8    7:36    11    Blooming Prairie         
